Code ;NOM;MS;UFL;UFV;PDIA;PDI;BPR;LysDI;MetDI;HisDI;NIref;UEM;UEL;UEB;MO;dMO;MAT;dMA;CB;dCB;NDF;dNDF;ADF;dADF;AG;EE;P;Pabs;Ca;Caabs;Mg;BE;EB;dE;EM;DT_N;DT6_N;dr_N;S;Na;K;Cl;BACA;Cu;Zn;Mn;Co;Se;I;VitA;VitD;VitE;LysBP;HisBP;ArgBP;ThrBP;ValBP;MetBP;IleBP;LeuBP;PheBP;AspBP;SerBP;GluBP;ProBP;GlyBP;AlaBP;TyrBP;CysTrpBP;LysDI;HisDI;ArgDI;ThrDI;ValDI;MetDI;IleDI;LeuDI;PheDI;AspDI;SerDI;GluDI;ProDI;GlyDI;AlaDI;TyrDI;C14:0;C16:0;C16:1;C18:0;C18:1;C18:2;C18:3
FV1760;MAIS;24.4;0.93;0.88;12;66;-41;6.98;2.13;2.01;1.44;1.28;1.09;1.22;951;71.1;76;62;220;56.5;490;57.5;244;52.8;24;31;1.8;1.3;2.3;0.9;1.2;176.3;4419;68.5;2557;76;73;68.8;0.7;0.1;10;3;132.5;4;20;25;0.06;0.02;0.08;2000;500;15;2.99;2.77;4.62;4.6;6.14;1.66;4.36;11.79;5.47;8.66;5.3;17.45;7.53;4.8;7.86;4;3.12;6.98;2.01;4.66;5.3;5.77;2.13;5.3;8.82;5.16;10.57;4.71;13.76;4.31;6.64;6.96;4.16;0.39;15.9;0.42;2.3;21.4;45.8;5
FV1770;MAIS;29.4;0.94;0.89;12;66;-42;6.99;2.13;2.01;1.44;1.28;1.01;1.12;954;72.1;74;56;200;54.8;454;56.2;218;51.1;24;31;1.8;1.3;2.3;0.9;1.2;176.3;4428;69.1;2584;76;73;68.8;0.7;0.1;10;3;132.5;4;20;25;0.06;0.02;0.08;2000;500;15;2.99;2.77;4.62;4.6;6.14;1.66;4.36;11.79;5.47;8.66;5.3;17.45;7.53;4.8;7.86;4;3.12;6.99;2.01;4.66;5.3;5.77;2.13;5.31;8.81;5.16;10.57;4.7;13.75;4.3;6.64;6.96;4.16;0.39;15.9;0.42;2.3;21.4;45.8;5
FV1780;MAIS;34.2;0.95;0.91;12;65;-43;7.01;2.14;2.01;1.44;1.28;0.96;1.04;957;72.5;71;53;193;54.3;440;55.8;212;50.6;24;31;1.8;1.3;2.3;0.9;1.2;176.3;4437;69.6;2611;76;73;68.8;0.7;0.1;10;3;132.5;4;20;25;0.06;0.02;0.08;2000;500;15;2.99;2.77;4.62;4.6;6.14;1.66;4.36;11.79;5.47;8.66;5.3;17.45;7.53;4.8;7.86;4;3.12;7.01;2.01;4.66;5.31;5.77;2.14;5.31;8.8;5.16;10.58;4.7;13.74;4.29;6.65;6.96;4.16;0.39;15.9;0.42;2.3;21.4;45.8;5
FV1790;MAIS;40.9;0.96;0.92;12;65;-39;6.97;2.13;2.01;1.44;1.28;0.9;0.97;959;72.2;74;50;195;53.9;442;55.5;212;50.2;24;31;1.8;1.3;2.3;0.9;1.2;176.3;4454;70;2636;76;73;68.8;0.7;0.1;10;3;132.5;4;20;25;0.06;0.02;0.08;2000;500;15;2.99;2.77;4.62;4.6;6.14;1.66;4.36;11.79;5.47;8.66;5.3;17.45;7.53;4.8;7.86;4;3.12;6.97;2.01;4.66;5.3;5.77;2.13;5.3;8.83;5.16;10.56;4.71;13.77;4.32;6.64;6.96;4.16;0.39;15.9;0.42;2.3;21.4;45.8;5
FV1800;ORGE;15.5;0.76;0.69;21;70;-1;6.49;2.04;2.1;1.71;1.58;1;1;875;65;120;70;329;59;634;59.4;376;55.2;20;34;2.7;1.7;3.8;1.5;1.5;256.8;4163;61.9;2148;75.2;73;69.8;1.5;0.3;15;5;163.1;7;30;40;0.1;0.02;0.1;2000;500;15;2.99;2.77;4.62;4.6;6.14;1.66;4.36;11.79;5.47;8.66;5.3;17.45;7.53;4.8;7.86;4;3.12;6.49;2.1;4.64;5.2;5.75;2.04;5.13;9.18;5.17;10.34;4.77;14.09;4.66;6.54;6.96;4.13;1;17.81;1.4;1.82;3;15.09;56.17
FV1810;ORGE;23.2;0.76;0.68;17;67;-18;6.89;2.11;1.98;1.78;1.51;1.01;1.01;912;63;99;65.7;300;53;598;54.8;347;49.3;19;25;2.3;1.5;3.8;1.5;1.5;156.8;4294;60;2156;74.9;73;70.1;1.2;0.3;10;4;81.8;6;25;35;0.1;0.02;0.1;2000;500;15;4.18;2.42;5.27;3.74;5.6;1.87;3.96;7.47;5.38;6.48;4.62;25.16;11.87;4.4;4.51;3.08;3.5;6.89;1.98;4.7;5.04;5.63;2.11;5.05;8.07;5.12;10.03;4.56;15.41;5.45;6.43;6.57;4.06;NA;20.9;1.4;1.81;13.2;37.7;19.9
FV1820;ORGE;25.1;0.74;0.66;17;66;-16;6.91;2.12;1.98;1.52;1.77;1.02;1.03;916;61;99;63.4;278;42;572;46.4;325;38.7;19;25;2.3;1.5;3.3;1.3;1.5;156.8;4312;59;2119;75.8;73;69.1;1.2;0.3;10;4;81.8;6;25;35;0.1;0.02;0.1;2000;500;15;4.18;2.42;5.27;3.74;5.6;1.87;3.96;7.47;5.38;6.48;4.62;25.16;11.87;4.4;4.51;3.08;3.5;6.91;1.98;4.7;5.05;5.63;2.12;5.07;8.08;5.12;10.05;4.56;15.36;5.41;6.44;6.58;4.06;NA;20.9;1.4;1.81;13.2;37.7;19.9
FV1830;ORGE;30.8;0.76;0.68;14;64;-27;7.02;2.14;1.96;1.43;1.88;1.03;1.05;922;63;86;60.5;271;46;563;49.4;319;42.6;19;25;2.3;1.5;2.9;1.1;1.5;156.8;4317;60;2157;76;73;68.7;1.2;0.3;10;4;81.8;6;25;35;0.1;0.02;0.1;2000;500;15;4.18;2.42;5.27;3.74;5.6;1.87;3.96;7.47;5.38;6.48;4.62;25.16;11.87;4.4;4.51;3.08;3.5;7.02;1.96;4.69;5.1;5.65;2.14;5.14;8.09;5.12;10.17;4.56;15.09;5.2;6.49;6.63;4.08;NA;20.9;1.4;1.81;13.2;37.7;19.9
FV1840;BLE;17.2;0.87;0.82;28;79;10;6.56;2.05;2.02;2.34;1.15;1;1;869;71;143;75.5;336;71;643;68.5;354;66.8;22;36;3;2;3.8;1.5;2;179.9;4176;67.8;2395;73.2;73;72.1;1.5;0.3;12;5;86.1;7;30;40;0.1;0.02;0.1;2000;500;15;4.18;2.42;5.27;3.74;5.6;1.87;3.96;7.47;5.38;6.48;4.62;25.16;11.87;4.4;4.51;3.08;3.5;6.56;2.02;4.7;4.89;5.57;2.05;4.86;8.03;5.11;9.71;4.54;16.19;6.06;6.3;6.44;4.01;1;17.25;1.4;1.75;2.88;14.63;57.63
FV1850;BLE;21.7;0.75;0.68;18;67;-15;6.66;2.07;1.98;1.68;1.6;1;1;907;63;102;67.6;334;62;672;61.7;380;58.1;18;32;2.7;1.7;3.8;1.5;1.5;156.8;4277;60;2140;75.2;73;69.7;1.2;0.3;10;4;81.8;6;30;50;0.1;0.02;0.1;2000;500;15;2.97;2.36;5.23;3.18;4.51;1.64;3.69;6.97;4.82;5.33;5.12;29.1;10.14;4.2;3.79;3.18;3.7;6.66;1.98;4.71;4.96;5.46;2.07;5.03;8.02;5.04;9.9;4.72;16.34;5.14;6.43;6.52;4.07;1;18.3;1.4;1.87;3.1;15.44;54.93
